Date,vs_ew,excess_1d,log_ret_1d,rf_1d,forecast_excess,invested,strategy_log_ret_gross,switch,strategy_log_ret_net,buy_hold_log_ret,cash_log_ret,strategy_log_ret_gross_growth,strategy_log_ret_net_growth,buy_hold_log_ret_growth,cash_log_ret_growth
2019-07-05,0.12001607998680357,-0.004942202927616394,-0.004847185993376031,9.50169342403627e-05,0.00014008923552955455,1,-0.004847185993376031,0.0,-0.004847185993376031,-0.004847185993376031,9.50169342403627e-05,99.51645426546861,99.51645426546861,99.51645426546861,100.00950214484922
2019-07-08,0.10227229874450722,0.0011412450824673215,0.0012358159804265049,9.457089795918333e-05,0.0006517317687365007,1,0.0012358159804265049,0.0,0.0012358159804265049,0.0012358159804265049,9.457089795918333e-05,99.63951431409072,99.63951431409072,99.63951431409072,100.01896058051084
2019-07-09,0.1008817458158163,0.004405572575707764,0.004500484767317741,9.491219160997698e-05,0.0006940007630871301,1,0.004500484767317741,0.0,0.004500484767317741,0.004500484767317741,9.491219160997698e-05,100.0889510134062,100.0889510134062,100.0889510134062,100.02845404977796
2019-07-10,0.10674633706940874,0.002187222245020127,0.0022826717159195975,9.544947089947064e-05,0.0005287824361437346,1,0.0022826717159195975,0.0,0.0022826717159195975,0.0022826717159195975,9.544947089947064e-05,100.3176821907364,100.3176821907364,100.3176821907364,100.03800216846608
2019-07-11,0.11285842810490695,0.0045152713113402135,0.0046094985236418,9.42272123015869e-05,0.0003484453594447632,1,0.0046094985236418,0.0,0.0046094985236418,0.0046094985236418,9.42272123015869e-05,100.7811637869055,100.7811637869055,100.7811637869055,100.04742891465568
2019-07-12,0.11060489505033556,8.124916565068941e-05,0.00017584401022740885,9.459484457671944e-05,0.0004225787730273759,1,0.00017584401022740885,0.0,0.00017584401022740885,0.00017584401022740885,9.459484457671944e-05,100.79888710912553,100.79888710912553,100.79888710912553,100.05689333327969
2019-07-15,0.1096104775372614,-0.003503222083711773,-0.003409581359505424,9.36407242063488e-05,0.0004518264448323487,1,-0.003409581359505424,0.0,-0.003409581359505424,-0.003409581359505424,9.36407242063488e-05,100.45579034313022,100.45579034313022,100.45579034313022,100.06626317192567
2019-07-16,0.10632237705882355,-0.0066460332792025656,-0.006552626285154946,9.340699404761905e-05,0.000543633389104764,1,-0.006552626285154946,0.0,-0.006552626285154946,-0.006552626285154946,9.340699404761905e-05,99.79969301868307,99.79969301868307,99.79969301868307,100.0756104973201
2019-07-17,0.1047846040086824,0.003482182742170375,0.003575535665450798,9.335292328042302e-05,0.0005755455138407432,1,0.003575535665450798,0.0,0.003575535665450798,0.003575535665450798,9.335292328042302e-05,100.15716908383803,100.15716908383803,100.15716908383803,100.08495328419056
2019-07-18,0.11170380175802383,-0.006288808169897641,-0.006195889687754784,9.291848214285714e-05,0.00037612611039620743,1,-0.006195889687754784,0.0,-0.006195889687754784,-0.006195889687754784,9.291848214285714e-05,99.53852481766715,99.53852481766715,99.53852481766715,100.09425345820739
2019-07-19,0.10602668217270195,0.002732000390868369,0.0028247279603128136,9.272756944444445e-05,0.0005341650326027817,1,0.0028247279603128136,0.0,0.0028247279603128136,0.0028247279603128136,9.272756944444445e-05,99.82009155935141,99.82009155935141,99.82009155935141,100.10353538538455
2019-07-22,0.10331346687343469,0.006732891311704957,0.006824164701727632,9.127339002267539e-05,0.0006191725162409132,1,0.006824164701727632,0.0,0.006824164701727632,0.006824164701727632,9.127339002267539e-05,100.5036098728937,100.5036098728937,100.5036098728937,100.11267259139798
2019-07-23,0.10705270148117386,0.004585816954544233,0.00467716366089344,9.134670634920635e-05,0.0005196914928722921,1,0.00467716366089344,0.0,0.00467716366089344,0.00467716366089344,9.134670634920635e-05,100.97478272210168,100.97478272210168,100.97478272210168,100.12181797199686
2019-07-24,0.10749553420195439,-0.00536750466312453,-0.005276251069020221,9.125359410430834e-05,0.0005134145208138068,1,-0.005276251069020221,0.0,-0.005276251069020221,-0.005276251069020221,9.125359410430834e-05,100.44341745780683,100.44341745780683,100.44341745780683,100.13095486461584
2019-07-25,0.11128330033670034,0.007269990968848365,0.007360474259664691,9.04832908163262e-05,0.00038863521245363674,1,0.007360474259664691,0.0,0.007360474259664691,0.007360474259664691,9.04832908163262e-05,101.18545617490582,101.18545617490582,101.18545617490582,100.14001545283433
2019-07-26,0.10989660135816225,-0.0017075951936691186,-0.001617376729950298,9.021846371882064e-05,0.00044133047876855364,1,-0.001617376729950298,0.0,-0.001617376729950298,-0.001617376729950298,9.021846371882064e-05,101.02193344725308,101.02193344725308,101.02193344725308,100.14905033873589
2019-07-29,0.1126714845935971,-0.0026717234885356798,-0.002581972383093503,8.975110544217658e-05,0.00035400349994303,1,-0.002581972383093503,0.0,-0.002581972383093503,-0.002581972383093503,8.975110544217658e-05,100.76143405084923,100.76143405084923,100.76143405084923,100.1580392300882
2019-07-30,0.11633199095490716,-0.011034318916215374,-0.010945190319276599,8.912859693877539e-05,0.00023849700824268199,1,-0.010945190319276599,0.0,-0.010945190319276599,-0.010945190319276599,8.912859693877539e-05,99.66459448704362,99.66459448704362,99.66459448704362,100.16696657343182
2019-07-31,0.10960182790236533,-0.009128292540296786,-0.009039586726804723,8.87058134920631e-05,0.00042588355004033766,1,-0.009039586726804723,0.0,-0.009039586726804723,-0.009039586726804723,8.87058134920631e-05,98.76772750224889,98.76772750224889,98.76772750224889,100.17585235979138
2019-08-01,0.11154931296140735,-0.007398561077244055,-0.007309385354454939,8.917572278911548e-05,0.0003511694865156014,1,-0.007309385354454939,0.0,-0.007309385354454939,-0.007309385354454939,8.917572278911548e-05,98.04842814196051,98.04842814196051,98.04842814196051,100.1847860121581
2019-08-02,0.11350036735143071,-0.030318737899913212,-0.03023016208358668,8.857581632653055e-05,0.00027962785602214874,1,-0.03023016208358668,0.0,-0.03023016208358668,-0.03023016208358668,8.857581632653055e-05,95.12876160794008,95.12876160794008,95.12876160794008,100.19366035438289
2019-08-05,0.09264216978665238,0.01284575555310142,0.012933013700777157,8.72581476757369e-05,0.000879439600545848,1,0.012933013700777157,0.0,0.012933013700777157,0.012933013700777157,8.72581476757369e-05,96.36705334719991,96.36705334719991,96.36705334719991,100.20240344904184
2019-08-06,0.09668888241901777,0.0006795239973647983,0.0007665958837026665,8.707188633786825e-05,0.0008056974881491229,1,0.0007665958837026665,0.0,0.0007665958837026665,0.0007665958837026665,8.707188633786825e-05,96.44095625683438,96.44095625683438,96.44095625683438,100.2111286411797
2019-08-07,0.0868479068965517,0.01850182186451976,0.018588425780336086,8.66039158163262e-05,0.0011325579765155218,1,0.018588425780336086,0.0,0.018588425780336086,0.018588425780336086,8.66039158163262e-05,98.25040713480765,98.25040713480765,98.25040713480765,100.21980769314291
2019-08-08,0.1152330967283205,-0.006725210980300169,-0.006638529760062074,8.668122023809524e-05,0.00020030753787001788,1,-0.006638529760062074,0.0,-0.006638529760062074,-0.006638529760062074,8.668122023809524e-05,97.6003290518692,97.6003290518692,97.6003290518692,100.22849524488413
2019-08-09,0.1102394832375479,-0.012116035368201435,-0.012029650100344293,8.638526785714286e-05,0.00037695641156165836,1,-0.012029650100344293,0.0,-0.012029650100344293,-0.012029650100344293,8.638526785714286e-05,96.43326500379551,96.43326500379551,96.43326500379551,100.23715388427684
2019-08-12,0.09378453875984857,0.01456816289814196,0.014654130432155564,8.596753401360516e-05,0.0009744368214785084,1,0.014654130432155564,0.0,0.014654130432155564,0.014654130432155564,8.596753401360516e-05,97.85681562060056,97.85681562060056,97.85681562060056,100.24577139562061
2019-08-13,0.10352955839218847,-0.029816782237263702,-0.029730363473091367,8.641876417233531e-05,0.0006489272923137371,1,-0.029730363473091367,0.0,-0.029730363473091367,-0.029730363473091367,8.641876417233531e-05,94.99031905324023,94.99031905324023,94.99031905324023,100.25443488563677
2019-08-14,0.07853530960626318,0.002373679388510547,0.002461236782690441,8.755739417989405e-05,0.0015190028079065786,1,0.002461236782690441,0.0,0.002461236782690441,0.002461236782690441,8.755739417989405e-05,95.22440066746704,95.22440066746704,95.22440066746704,100.26321328701171
2019-08-15,0.07797618525641023,0.014236180228268886,0.014323116131046663,8.693590277777778e-05,0.0015502799237303057,1,0.014323116131046663,0.0,0.014323116131046663,0.014323116131046663,8.693590277777778e-05,96.59812534067238,96.59812534067238,96.59812534067238,100.2719301388724
2019-08-16,0.08958749106906724,0.011946782021571454,0.012033185301994735,8.640328042328016e-05,0.001219758805216882,1,0.012033185301994735,0.0,0.012033185301994735,0.012033185301994735,8.640328042328016e-05,97.76753020488835,97.76753020488835,97.76753020488835,100.28059433687295
2019-08-19,0.09230919649716476,-0.008032923143951232,-0.0079462520811493,8.667106280193214e-05,0.0011648405707239164,1,-0.0079462520811493,0.0,-0.0079462520811493,-0.0079462520811493,8.667106280193214e-05,96.99372326871571,96.99372326871571,96.99372326871571,100.28928613922096
2019-08-20,0.08977723842184748,0.008126188886079652,0.008213006299499564,8.68174134199131e-05,0.0012263440166956096,1,0.008213006299499564,0.0,0.008213006299499564,0.008213006299499564,8.68174134199131e-05,97.79361358475931,97.79361358475931,97.79361358475931,100.29799337360163
2019-08-21,0.09174222929100023,-0.0005929622844272562,-0.0005062096294763871,8.675265495086905e-05,0.0011811312774336292,1,-0.0005062096294763871,0.0,-0.0005062096294763871,-0.0005062096294763871,8.675265495086905e-05,97.74412204346565,97.74412204346565,97.74412204346565,100.30669486824647
2019-08-22,0.09240947759834875,-0.026374917095765168,-0.026288935558066755,8.59815376984127e-05,0.0011431616106383916,1,-0.026288935558066755,0.0,-0.026288935558066755,-0.026288935558066755,8.59815376984127e-05,95.20801495447118,95.20801495447118,95.20801495447118,100.3153197628982
2019-08-23,0.09961156862745094,0.010837257026079307,0.01092319117394898,8.593414786967382e-05,0.000732621412944859,1,0.01092319117394898,0.0,0.01092319117394898,0.01092319117394898,8.593414786967382e-05,96.25369096545296,96.25369096545296,96.25369096545296,100.32394064482908
