Date,spot,risk_free,raw_rows,put_iv_ew,call_iv_ew,atm_put_iv_ew,delta_put_iv_ew,delta_call_iv_ew,put_iv_qw,call_iv_qw,atm_put_iv_qw,n_put,n_call,n_delta_put,n_delta_call,vs_ew,vs_qw,vs_delta_ew,atm_cp_ew,atm_cp_qw,log_ret_1d,rf_1d,excess_1d,log_ret_5d,rf_5d,excess_5d,log_ret_10d,rf_10d,excess_10d,log_ret_21d,rf_21d,excess_21d,next_year
2017-01-03,2257.83,0.0080686135714285,872,0.22115527725856696,0.1124805652173913,0.11993406086956522,0.1479093777777778,0.10966904761904761,0.20113079384071772,0.12161983638425006,0.11849444035780642,321,230,135,21,0.10867471204117565,0.07951095745646766,0.038240330158730185,-0.0074534956521739165,0.0031253960264436415,0.005705998372356855,3.201830782312897e-05,0.005673980064533726,0.004890957520127443,0.00016196210742630278,0.00472899541270114,0.006207909166050327,0.0003171548410121603,0.005890754325038167,0.010144005480794705,0.0006683297495384341,0.009475675731256272,2017
2017-01-04,2270.75,0.0080301842857142,862,0.21241949546827793,0.10644111555555556,0.1066173256880734,0.13307577685950414,0.10169372222222223,0.1886565125844244,0.1147385695605013,0.10721689190461448,331,225,121,18,0.10597837991272237,0.0739179430239231,0.031382054637281914,-0.00017621013251784,0.0075216776558868215,-0.0007709676024811847,3.186581065759603e-05,-0.0008028334131387808,0.002010528451789763,0.0001643451488095226,0.0018461833029802402,-0.003113948229494827,0.0003156732886690008,-0.0034296215181638277,0.011676580784254558,0.0006685978391075953,0.011007982945146962,2017
2017-01-05,2269.0,0.0080371046428571,1001,0.2118682235649547,0.10712149333333333,0.10446568325791855,0.13084607826086958,0.10208977777777778,0.18549170611677826,0.1164727647141985,0.10520834120615563,331,225,115,18,0.10474673023162136,0.06901894140257976,0.0287563004830918,0.00265581007541478,0.011264423508042867,0.0035107977582784673,3.189327239229008e-05,0.0034789044858861773,0.000634439511614454,0.0001626722878873762,0.0004717672237270778,0.001017551752773206,0.0003142482220590238,0.0007033035307141822,0.010329891309270828,0.0006689973359896819,0.009660893973281147,2017
2017-01-06,2276.98,0.0080418957142857,1002,0.20908383081570997,0.1087985,0.10242829268292683,0.12547308181818181,0.10246315789473685,0.18592169910061723,0.10858861607779122,0.10384388073687163,331,230,110,19,0.10028533081570996,0.07733308302282602,0.02300992392344496,0.006370207317073176,0.004744735340919584,-0.003554871008026604,3.191228458049881e-05,-0.0035867832926071027,-0.0010282054328592954,0.0001608887575585782,-0.0011890941904178737,-0.00518694829847041,0.0003126723076450127,-0.005499620606115423,0.007045888503159983,0.0006717535137107703,0.006374134989449212,2017
2017-01-09,2268.9,0.0086366528571428,859,0.20595288379204893,0.10900962222222223,0.10635887019230769,0.132792432,0.10470215000000001,0.1856462520318561,0.11088468311395244,0.1084764161058779,327,225,125,20,0.0969432615698267,0.07476156891790367,0.02809028199999998,0.0026507520299145354,0.0024082670080745466,0.0,3.4272431972788885e-05,-3.4272431972788885e-05,-0.00044524874049098594,0.00015909067602040716,-0.000604339416511393,0.004911011701489772,0.0003132315012391167,0.0045977802002506556,0.01129390977598353,0.0006746025896744888,0.010619307186309043,2017
2017-01-10,2268.9,0.0086691399999999,858,0.206632877675841,0.10751567111111111,0.10721319711538461,0.13267397560975608,0.10363226315789473,0.18814401402227143,0.11666849441594393,0.10517253778063787,327,225,123,19,0.09911720656472987,0.0714755196063275,0.02904171245186135,0.0003024739957264988,0.01149595663530606,0.00282556930401906,3.4401349206348806e-05,0.0027911679548127113,0.0013169516459227493,0.00015519273358585752,0.0011617589123368917,0.01290504349149942,0.00031147976937970635,0.012593563722119715,0.01702988868831434,0.0006708746229322364,0.016359014065382104,2017
2017-01-11,2275.32,0.0076086233333333,853,0.20455970030581042,0.10282228888888889,0.10667358666666668,0.1298814537815126,0.09861344444444445,0.18268174894519196,0.10994586941563704,0.10630304527439303,327,225,119,18,0.10173741141692152,0.07273587952955492,0.031268009337068164,-0.00385129777777779,0.0036428241412440054,-0.00214705654265648,3.0192949735449605e-05,-0.0021772494923919298,-0.005124476681284579,0.00015132813985947816,-0.0052758048211440575,0.009343900003869256,0.00030965398706678135,0.009034246016802475,0.017764034819553617,0.0006668412045648897,0.017097193614988727,2017
2017-01-12,2270.44,0.007587655,849,0.2091331987767584,0.10728046666666667,0.1029463640776699,0.13013168907563025,0.10242484210526316,0.1861344486652558,0.11799672974024739,0.10306519949414315,327,225,119,19,0.10185273211009173,0.06813771892500842,0.027706846970367086,0.004334102588996774,0.014931530246104233,0.0018481528138047062,3.010974206349206e-05,0.0018180430717412142,0.0003831122411586415,0.0001515759341716476,0.00023153630698699392,0.01062411282684743,0.00031196805830638807,0.010312144768541042,0.02514326711031089,0.0006669042601204452,0.024476362850190444,2017
2017-01-13,2274.64,0.0075887791666666,858,0.21506378614457833,0.10035832444444444,0.1039465971563981,0.13037501680672267,0.09559823529411765,0.19233547019706512,0.10958093774420319,0.10435840418552585,332,225,119,17,0.11470546170013389,0.08275453245286193,0.03477678151260502,-0.003588272711953666,0.005222533558677342,-0.0029719143156583245,3.011420304232778e-05,-0.003002028518700652,-0.004158742865611173,0.00015178355008643453,-0.004310526415697608,0.002748303797239762,0.000314330374066025,0.0024339734231737372,0.02729440807086323,0.0006674541779208984,0.026626953892942333,2017
2017-01-17,2267.89,0.0076543713636363,706,0.2194324431372549,0.10103170652173912,0.11124400000000001,0.13783098058252427,0.09688006666666667,0.20089548922823502,0.11005291263494019,0.10961781041924762,255,184,103,15,0.11840073661551578,0.09084257659329484,0.040950913915857604,-0.010212293478260887,0.0004351022156925677,0.0017622003864136812,3.0374489538239285e-05,0.001731825896875442,0.005356260441980557,0.00015414082521870954,0.005202119616761847,0.004829822266565428,0.00031669647431167895,0.0045131257922537485,0.03524624447357165,0.0006678909310388123,0.03457835354253284,2017
